,NEIGHBORHOOD,ENCODED_VALUE
13361,SOHO,204
13362,SOHO,204
13365,SOHO,204
13366,SOHO,204
13367,SOHO,204
13423,SOUTHBRIDGE,209
13424,SOUTHBRIDGE,209
13425,SOUTHBRIDGE,209
13579,SOUTHBRIDGE,209
13585,SOUTHBRIDGE,209
13586,SOUTHBRIDGE,209
13587,SOUTHBRIDGE,209
13592,TRIBECA,222
13593,TRIBECA,222
13594,TRIBECA,222
13595,TRIBECA,222
13596,TRIBECA,222
14152,TRIBECA,222
14153,TRIBECA,222
14208,TRIBECA,222
14209,TRIBECA,222
14210,TRIBECA,222
14211,TRIBECA,222
14212,TRIBECA,222
14213,TRIBECA,222
14214,TRIBECA,222
14238,UPPER EAST SIDE (59-79),223
14239,UPPER EAST SIDE (59-79),223
14241,UPPER EAST SIDE (59-79),223
14242,UPPER EAST SIDE (59-79),223
14243,UPPER EAST SIDE (59-79),223
14244,UPPER EAST SIDE (59-79),223
14245,UPPER EAST SIDE (59-79),223
14246,UPPER EAST SIDE (59-79),223
14247,UPPER EAST SIDE (59-79),223
14248,UPPER EAST SIDE (59-79),223
14250,UPPER EAST SIDE (59-79),223
14251,UPPER EAST SIDE (59-79),223
14255,UPPER EAST SIDE (59-79),223
14256,UPPER EAST SIDE (59-79),223
14257,UPPER EAST SIDE (59-79),223
14259,UPPER EAST SIDE (59-79),223
14260,UPPER EAST SIDE (59-79),223
14261,UPPER EAST SIDE (59-79),223
14262,UPPER EAST SIDE (59-79),223
14263,UPPER EAST SIDE (59-79),223
14264,UPPER EAST SIDE (59-79),223
14265,UPPER EAST SIDE (59-79),223
14266,UPPER EAST SIDE (59-79),223
14267,UPPER EAST SIDE (59-79),223
